"year","sem","time","post","Comune_ISTAT","Comune_amm","Comune_descrizione","Fascia","Zona","LinkZona","zone_key","price_mid","Compr_min","Compr_max","CODCOM","CODZONA","cx","cy","dist_cortina_km","dist_bin","log_price"
2021,1,2021,1,5025027,"E490","LA VALLE AGORDINA","B","B1","BL00000572","E490_B1",900,800,1000,"E490","B1",736282.953973719,5129927.58667883,29.2976236376302,"20-40 km",6.80239476332431
2021,1,2021,1,5025027,"E490","LA VALLE AGORDINA","R","R1","BL00002221","E490_R1",650,600,700,"E490","R1",738741.919256474,5129921.65387941,29.0703990695164,"20-40 km",6.47697236288968
2021,1,2021,1,5025030,"E622","LIVINALLONGO COL LANA","B","B1","BL00000614","E622_B1",1725,1650,1800,"E622","B1",726883.423472403,5151599.46090842,15.2806804305964,"0-20 km",7.45298232946546
2021,1,2021,1,5025030,"E622","LIVINALLONGO COL LANA","B","B2","BL00000615","E622_B2",2425,2250,2600,"E622","B2",720554.375631908,5153313.59735219,20.5147697915123,"20-40 km",7.79358680337158
2021,1,2021,1,5025030,"E622","LIVINALLONGO COL LANA","E","E1","BL00000617","E622_E1",1325,1200,1450,"E622","E1",728259.576504827,5151424.19115718,14.182079960747,"0-20 km",7.18916773842032
2021,1,2021,1,5025030,"E622","LIVINALLONGO COL LANA","R","R1","BL00002141","E622_R1",1225,1100,1350,"E622","R1",724628.711623893,5153556.46323419,16.5543009105212,"0-20 km",7.11069612297883
2021,1,2021,1,5025032,"E687","LORENZAGO DI CADORE","B","B1","BL00000647","E687_B1",1200,1100,1300,"E687","B1",765581.489651407,5153149.94721305,25.9587970197122,"20-40 km",7.09007683577609
2021,1,2021,1,5025032,"E687","LORENZAGO DI CADORE","R","R1","BL00002066","E687_R1",900,750,1050,"E687","R1",767831.813123215,5150923.5297213,28.6982440624375,"20-40 km",6.80239476332431
2021,1,2021,1,5025033,"E708","LOZZO DI CADORE","B","B1","BL00000664","E708_B1",1150,1050,1250,"E708","B1",764425.16791751,5153896.53529801,24.6693339693673,"20-40 km",7.0475172213573
2021,1,2021,1,5025033,"E708","LOZZO DI CADORE","R","R1","BL00002065","E708_R1",870,740,1000,"E708","R1",762604.294737401,5156270.5629966,22.485411142272,"20-40 km",6.76849321164863
2021,1,2021,1,5025035,"G169","OSPITALE DI CADORE","B","B1","BL00000698","G169_B1",775,700,850,"G169","B1",755738.150076274,5135870.54580012,27.7795209259817,"20-40 km",6.65286302935335
2021,1,2021,1,5025035,"G169","OSPITALE DI CADORE","R","R1","BL00002067","G169_R1",625,550,700,"G169","R1",754604.17536311,5135748.45993408,27.2686322030709,"20-40 km",6.4377516497364
2021,1,2021,1,5025036,"G404","PEDAVENA","B","B1","BL00000720","G404_B1",1050,950,1150,"G404","B1",723175.71900692,5102347.77551574,59.131198855359,"40-60 km",6.95654544315157
2021,1,2021,1,5025036,"G404","PEDAVENA","D","D1","BL00000722","G404_D1",775,650,900,"G404","D1",722037.19902927,5101997.03906189,59.8044251701452,"40-60 km",6.65286302935335
2021,1,2021,1,5025036,"G404","PEDAVENA","R","R1","BL00002164","G404_R1",795,750,840,"G404","R1",720775.855306438,5102965.83647844,59.2854402926966,"40-60 km",6.67834211465433
2021,1,2021,1,5025037,"G442","PERAROLO DI CADORE","B","B1","BL00000741","G442_B1",775,700,850,"G442","B1",758050.460657421,5143660.66143018,23.4440036333138,"20-40 km",6.65286302935335
2021,1,2021,1,5025037,"G442","PERAROLO DI CADORE","B","B2","BL00000742","G442_B2",925,850,1000,"G442","B2",758925.050011108,5143248.58724,24.377096460455,"20-40 km",6.82979373751242
2021,1,2021,1,5025037,"G442","PERAROLO DI CADORE","R","R1","BL00002068","G442_R1",640,570,710,"G442","R1",759406.388439151,5139831.70224527,27.0445691939498,"20-40 km",6.46146817635372
2021,1,2021,1,5025039,"G642","PIEVE DI CADORE","B","B1","BL00000786","G642_B1",1350,1200,1500,"G642","B1",758408.544971828,5146686.15599783,21.8884988828947,"20-40 km",7.20785987143248
2021,1,2021,1,5025039,"G642","PIEVE DI CADORE","D","D3","BL00002207","G642_D3",1125,1050,1200,"G642","D3",758620.95610541,5147054.96650697,21.8618883472166,"20-40 km",7.02553831463852
2021,1,2021,1,5025039,"G642","PIEVE DI CADORE","R","R1","BL00002206","G642_R1",950,800,1100,"G642","R1",759988.043576449,5145742.61480036,23.7256673771951,"20-40 km",6.85646198459459
2021,1,2021,1,5025043,"H327","RIVAMONTE AGORDINO","B","B1","BL00000835","H327_B1",850,750,950,"H327","B1",733050.508845952,5126509.37961153,33.2375982085528,"20-40 km",6.74523634948436
2021,1,2021,1,5025043,"H327","RIVAMONTE AGORDINO","E","E1","BL00000837","H327_E1",785,700,870,"H327","E1",733648.890819064,5126938.95918533,32.6918427638493,"20-40 km",6.66568371778241
2021,1,2021,1,5025043,"H327","RIVAMONTE AGORDINO","R","R1","BL00002143","H327_R1",635,550,720,"H327","R1",734260.134850667,5125371.40798529,34.1151588886289,"20-40 km",6.45362499889269
2021,1,2021,1,5025044,"H379","ROCCA PIETORE","B","B1","BL00000851","H379_B1",1500,1400,1600,"H379","B1",728007.850123023,5146309.43530529,17.6183495110471,"0-20 km",7.3132203870903
2021,1,2021,1,5025044,"H379","ROCCA PIETORE","E","E1","BL00000853","H379_E1",1400,1300,1500,"H379","E1",731395.83293434,5143384.60298275,17.9231618725287,"0-20 km",7.24422751560335
2021,1,2021,1,5025044,"H379","ROCCA PIETORE","R","R1","BL00002142","H379_R1",1200,1100,1300,"H379","R1",725117.620473643,5145944.52689852,19.9763244224611,"0-20 km",7.09007683577609
2021,1,2021,1,5025045,"H938","SAN GREGORIO NELLE ALPI","B","B1","BL00000867","H938_B1",825,750,900,"H938","B1",733862.64796986,5109663.29482212,49.7040013964665,"40-60 km",6.71538338633468
2021,1,2021,1,5025045,"H938","SAN GREGORIO NELLE ALPI","E","E1","BL00000869","H938_E1",775,700,850,"H938","E1",736400.93092873,5111085.70719179,48.0225318592111,"40-60 km",6.65286302935335
2021,1,2021,1,5025045,"H938","SAN GREGORIO NELLE ALPI","R","R1","BL00002240","H938_R1",640,530,750,"H938","R1",733985.564446584,5112079.05159947,47.2929730920412,"40-60 km",6.46146817635372
2021,1,2021,1,5025046,"I063","SAN NICOLO` DI COMELICO","B","B1","BL00000883","I063_B1",1100,1000,1200,"I063","B1",770158.270805786,5164659.24054411,30.4193152505611,"20-40 km",7.00306545878646
