"zone_key","CODCOM","CODZONA","cx","cy","dist_cortina_km"
"H379_B1","H379","B1",728007.850123023,5146309.43530529,17.6183495110471
"H379_E1","H379","E1",731395.83293434,5143384.60298275,17.9231618725287
"H938_R1","H938","R1",733985.564446584,5112079.05159947,47.2929730920412
"H938_B1","H938","B1",733862.64796986,5109663.29482212,49.7040013964665
"H938_E1","H938","E1",736400.93092873,5111085.70719179,48.0225318592111
"I063_R1","I063","R1",771486.265763794,5168690.10552867,32.691280155167
"I063_B1","I063","B1",770158.270805786,5164659.24054411,30.4193152505611
"I063_E1","I063","E1",770678.030137842,5165427.31323606,31.0809060760927
"I088_R1","I088","R1",775918.312621623,5169130.90415366,37.0643300398418
"I088_B1","I088","B1",775292.746718036,5163999.35756705,35.3755007767864
"I088_E1","I088","E1",773890.017337372,5164752.56765134,34.1077195701427
"I206_R1","I206","R1",734340.660670145,5108981.97746312,50.321045736852
"I206_D1","I206","D1",734537.023769557,5106995.98599464,52.2717486895023
"I206_B1","I206","B1",735125.729529302,5107753.31452135,51.4567804659795
"I206_E1","I206","E1",736893.224542196,5110123.88844204,48.9447509836142
"I347_R1","I347","R1",728678.30262038,5141286.44027554,21.1336749763532
"I347_B1","I347","B1",728706.983515982,5140618.21370163,21.6800016638738
"I347_E1","I347","E1",729485.863887188,5140661.92371435,21.2367960529004
"I392_R1","I392","R1",744104.497400647,5151579.60071011,8.30514609421697
"I392_B1","I392","B1",746147.885949478,5150314.61212077,10.4419527334858
"I563_D2","I563","D2",739329.233706843,5110052.12894541,48.9084733013756
"I563_B2","I563","B2",739102.126581624,5111226.78940716,47.7390999366629
"I563_E3","I563","E3",743702.426954628,5115984.38260326,43.1031370073101
"I563_E4","I563","E4",740455.491344942,5113394.5648414,45.5571503604411
"I563_R3","I563","R3",741299.436768696,5122462.6834496,36.5029494019555
"I563_E2","I563","E2",741444.149260883,5116322.84290858,42.6444445305958
"I563_R2","I563","R2",740360.133556154,5111024.72638111,47.926716201621
"I592_R1","I592","R1",735351.643957465,5148306.48455359,11.7300948595096
"I592_B1","I592","B1",734580.128352705,5148123.44332706,12.2361859191882
"I626_R1","I626","R1",719611.322612536,5092488.64287264,69.6021444189936
"I626_B1","I626","B1",721026.199801565,5097603.26083211,64.2983012387744
"I673_R1","I673","R1",716794.918410768,5105760.5680292,58.1444442735296
"I673_E2","I673","E2",718937.555507566,5105111.59340345,57.9153741737121
"I673_B1","I673","B1",714794.64192601,5103771.38452724,60.7807311334536
"I673_E1","I673","E1",717990.924803943,5105261.71763443,58.1321712623337
"I866_R1","I866","R1",736177.383462263,5117601.15054839,41.5531760386076
"I866_D1","I866","D1",737783.665932908,5113852.39134625,45.1679785011609
"I866_B1","I866","B1",737165.931352568,5114078.62930726,44.980619081375
"L030_R1","L030","R1",728658.015781937,5132738.81510141,28.6731876473084
"L030_B1","L030","B1",731820.040522642,5131735.0900445,28.5006071157268
"L030_E1","L030","E1",731542.1667715,5133610.84479111,26.804464542639
"L040_R1","L040","R1",765786.894158137,5112424.92305794,53.0598702342066
"L040_E3","L040","E3",763663.358862128,5115994.61975056,48.9090852957061
"L040_E2","L040","E2",764862.807180507,5113008.28729755,52.106792337652
"L040_B1","L040","B1",764304.075083867,5114091.82694092,50.8878227739385
"L040_E1","L040","E1",762654.194682279,5113001.17585463,51.1082990574108
"L584_R1","L584","R1",725636.918820114,5140097.77752025,23.87166536878
"L584_B1","L584","B1",725462.96880443,5139271.72398298,24.6335394096908
"L584_E1","L584","E1",726444.467854149,5138787.56726198,24.4536443338188
"L590_R1","L590","R1",753917.749551494,5144126.54839966,20.1440743836928
"L590_B1","L590","B1",756269.124532002,5145857.85029082,20.6667846757194
"L590_E1","L590","E1",753666.656031476,5144972.00236478,19.3557507486344
"L890_R1","L890","R1",772932.875318687,5155187.06281096,32.8698695720319
"L890_B1","L890","B1",766818.051331153,5155088.73487747,26.818411172874
"L890_E1","L890","E1",765441.476070655,5154276.71667121,25.592758816996
"M108_R1","M108","R1",746915.338954142,5145061.2207037,15.3939549677905
"M108_B1","M108","B1",749411.275395685,5145685.26405011,16.1053811314204
"M108_E1","M108","E1",750820.70996576,5145386.80303673,17.1790471990555
"M124_R1","M124","R1",729497.650200767,5127300.36314717,33.4369514528851
"M124_B1","M124","B1",731609.877585474,5128682.97939109,31.4854570756763
"M124_E1","M124","E1",729896.207457942,5126460.47806936,34.1096206353252
"M189_R1","M189","R1",744410.819198455,5142104.94535216,17.3456597591424
"M189_B1","M189","B1",744012.624618365,5141812.45782507,17.5408219843138
"M342_R1","M342","R1",749925.312448415,5128062.39174635,32.3600909019451
"M342_B2","M342","B2",754745.891833041,5130966.75226386,31.5027359650798
"M342_E3","M342","E3",754663.22943136,5126210.21624991,35.7614579479813
"M342_E4","M342","E4",755012.948537688,5129749.16217495,32.7085712729502
"M342_E2","M342","E2",754520.222822359,5126784.67763255,35.178136184219
"M342_B1","M342","B1",754430.907115101,5129287.04146967,32.8670294930363
"M342_E6","M342","E6",753927.402233643,5130553.99077493,31.5068730832102
"M342_R2","M342","R2",754177.864802655,5131444.89899174,30.8184566592038
"M342_E1","M342","E1",752602.802790228,5128724.73791341,32.6422906805736
"M342_E5","M342","E5",754442.016043305,5131780.78797857,30.6402396982321
"M374_R1","M374","R1",738760.992246012,5140269.73872702,18.7432297408282
"M374_D1","M374","D1",745492.382180011,5138998.92550353,20.6222406329602
"M374_B2","M374","B2",738755.368902668,5142187.18448189,16.8333098538449
"M374_E3","M374","E3",743191.469565712,5137139.79650212,22.0051327071908
